" There was an error occurred during paying process."," There was an error occurred during paying process."
"Bank","Bank"
"Credit Mutuel","Credit Mutuel"
"Customer returned from Cybermut.","Customer returned from Cybermut."
"Customer successfully returned from Cybermut","Customer successfully returned from Cybermut"
"Customer was redirected to Cybermut","Customer was redirected to Cybermut"
"Cybermut Payment", "Cybermut Payment"
"Service Type","Service Type"
"Default Cybermut Interface language","Default Cybermut Interface language"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Error occured","Error occured"
"French","French"
"German","German"
"Groupe CIC","Groupe CIC"
"Italian","Italian"
"Key","Key"
"New order status","New order status"
"OBC","OBC"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Order status when payment accepted by Cybermut", "Order status when payment accepted by Cybermut"
"Order status when payment refused by Cybermut", "Order status when payment refused by Cybermut"
"Payment accepted by Cybermut", "Payment accepted by Cybermut"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment refused by Cybermut", "Payment refused by Cybermut"
"Preference will be given to store language chosen by the user", "Preference will be given to store language chosen by the user"
"Returned MAC is invalid. Order cancelled.","Returned MAC is invalid. Order cancelled."
"SHA key","SHA key"
"Site code","Site code"
"Sort order","Sort order"
"Spain","Spain"
"TPE number","TPE number"
"Test mode","Test mode"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Title","Title"
"Transaction Description","Transaction Description"
"You will be redirected to Cybermut in a few seconds.","You will be redirected to Cybermut in a few seconds."
"You will be redirected to Cybermut website when you place an order.","You will be redirected to Cybermut website when you place an order."
"Products","Products"
"Virtual Products","Virtual Products"
